id,name,price,link,short_description,review_count,rating_average
192729512,"Laptop Dell Vostro 5620 i5 1240P/16GB/512GB/16""F/OfficeHS/Win11/(70282719)/Xám - Hàng chính hãng",23297000,https://tiki.vn/product-p192729512.html?spid=203293171,"Laptop Dell Vostro 5620 i5 (70282719) sẽ là đối thủ đáng gờm trong phân khúc laptop học tập - văn phòng nhờ ngoại hình thời thượng, sang trọng kết hợp với hiệu năng mạnh mẽ đến từ con chip Intel Gen 1...",0,0.0
208378320,Laptop Gigabyte U4 UD-50VN823SO 14 inch Core i5-1155G7/ Win 11 - Hàng Chính Hãng,15490000,https://tiki.vn/product-p208378320.html?spid=208378321,"Siêu mỏng nhẹ, siêu cao cấpViệc mang theo laptop di chuyển thường ngày chưa bao giờ dễ dàng đến thế. Laptop Gigabyte U4 UD-50VN823SO có trọng lượng 990 gram và độ mỏng chỉ 16,5mm, giúp bạn dễ dàng ch...",2,5.0
173267525,Laptop MSI Gaming GF63 Thin 11SC-664VN (I5-11400H Gen 11th | 8GB DDR4 | SSD 512GB PCle | VGA GTX 1650 4GB GDDR6 | 15.6 FHD IPS 144Hz | Win11| Black) - Hàng Chính Hãng,15690000,https://tiki.vn/product-p173267525.html?spid=199593171,"THÔNG SỐ KỸ THUẬTModelLaptop MSI GF63 Thin 11SC 664VN CPUIntel I5-11400H Gen 11th (2.7GHz upto 4.5GHz, 6 Cores, 12 Threads, 12MB Cache, FSB 8GT/s)RAM8GB DDR4 3200MHz (DDR4 - 32...",1,4.0
159602767,Laptop Dell Alienware M15 R6 P109F001DBL 15.6 Inch Core i7-11800H/RTX 3060/Win11 + Office,58340000,https://tiki.vn/product-p159602767.html?spid=159602768,"Thiết kế thân thuộc, đậm chất tương laiVề thiết kế, Laptop Dell Alienware Gaming m15 R6 sẽ có dáng dấp “chiến hạm” tương đồng với phiên bản m15 Ryzen Edition R5 ra mắt cùng dịp. Các yếu tố nổi bật nh...",1,5.0
213714039,Laptop ASUS TUF Gaming A15 FA506ICB-HN355W (R5-4600H | 8GB | 512GB | GeForce RTX 3050 4GB | 15.6′ FHD 144Hz | Win 11) - Hàng Chính Hãng,18490000,https://tiki.vn/product-p213714039.html?spid=213714040,"Thông số ASUS TUF Gaming A15 FA506ICB-HN355WCPUAMD Ryzen 5 4600H 3.0GHz up to 4.0GHz 8MBRAM8GB DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)Ổ cứng512GB M.2 NVMe PCIe 3.0 SSD (2 slots)Card...",0,0.0
203320162,Laptop Dell Inspiron 15 3520 71001747 (Core i7-1255U | 8GB | 512GB | Intel Iris Xe | 15.6 inch FHD | Win 11 | Office | Đen) - Hàng chính hãng,20050000,https://tiki.vn/product-p203320162.html?spid=247662459,"CPU 12th Generation Intel Alder Lake Core i7 _ 1255U Processor (1.70 GHz, 12MB Cache Up to 4.70 GHz, 10 Cores 12 Threads)Memory 8GB DDr4 Bus 3200Mhz (2 Slot, 8GB x 01, Max 32GB Ram)Hard Disk 512GB PCI...",0,0.0
141087618,"Laptop Acer Aspire 7 A715-42G-R1SB (AMD R5-5500U/ 8GB DDR4/ 256GB SSD/ GTX 1650 4GB/ 15.6 FHD IPS, 144Hz/ Win10) - Hàng Chính Hãng",14250000,https://tiki.vn/product-p141087618.html?spid=160067078,Laptop gaming tốt nhất phân khúcLaptop Acer Aspire 7 A715-42G-R1SB là chiếc laptop gaming 2021 được tích hợp rất nhiều sức mạnh vào khung máy. Với NVIDIA graphic GTX 1650 mới nhất giúp tăng khả năng ...,0,0.0
155530348,"Laptop Acer Nitro 5 AN515-45-R6EV (AMD R5-5600H/ 8GB/ 512GB/ 4GB GTX1650/ 15.6 FHD IPS, 144Hz/ Win11) - Hàng Chính Hãng",18681000,https://tiki.vn/product-p155530348.html?spid=180934919,"Acer Nitro 5 Gaming AN515 45 R6EV R5 (NH.QBMSV.006) gấy ấn tượng mạnh mẽ với thiết kế cá tính cùng bộ cấu hình lý tưởng đến từ con chip AMD và card đồ họa rời dòng GTX, hứa hẹn sẽ là một người bạn đồn...",1,5.0
172802609,"Laptop Lenovo 100e Gen 2 N4020/4GB/64GB eMMC/Intel UHD Graphics 600/11.6""HD/Win 10 Pro - HÀNG CHÍNH HÃNG",4790000,https://tiki.vn/product-p172802609.html?spid=172802685,"Đánh giá chi tiết Lenovo 100e Gen 2 N4020/81M8006AVNLenovo 100e Gen 2 là chiếc laptop nhỏ gọn, bền bỉ, mức giá rất rẻ, được xây dựng phù hợp cho hoạt động học tập online của các em học sinh.Thiết ...",3,4.7
146087171,Laptop Acer Gaming Nitro 5 AN515-45-R86D (NH.QBCSV.005) (R7 5800H/8GB Ram/512GB SSD/RTX3060 6G/15.6 inch FHD 144Hz/Win 11/Đen) Hàng chính hãng,27990000,https://tiki.vn/product-p146087171.html?spid=146087172,"Cấu hình dành cho chơi game và đồ họaVới phiên bản này, Acer Nitro 5 AN515 sử dụng CPU AMD Ryzen 5000 series cho hiệu năng ổn định, sử dụng được các ứng dụng nặng.Kết hợp RAM 8GB hoặc 16GB, có khả n...",0,0.0
